Name	Notes	FullAddress	City	Province	PostalCode
Bureau en Gros; Vaudreuil	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	46 boul. de la Cité des Jeunes bureau 100	Vaudreuil-Dorion	Quebec	J7V 9L5
Bureau en Gros; Atwater	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4036 rue Sainte-Catherine Ouest	Westmount	Quebec	H3Z 1P2
Bureau en Gros; Saint-Laurent	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3660 boul. De La Côte-Vertu	Montréal	Quebec	H4R 1P8
Bureau en Gros; Pointe-Claire	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	365 boul. Brunswick	Pointe-Claire	Quebec	H9R 4S1
Bureau en Gros; Lasalle	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	7097 boul. Newman	Montréal	Quebec	H8N 1X1
Bureau en Gros; Des Sources	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3165 boul. Des Sources	Dorval	Quebec	H9B 1Z6
Bureau en Gros; île-Perrot	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	475 Grand Boulevard	L'île-Perrot	Quebec	J7V 4X4
Bureau en Gros; Mtl-Sherbrooke	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	5157 rue Sherbrooke Ouest	Montréal	Quebec	H4A 1T5
Bureau en Gros; Marché Central	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1041 rue du Marché Central	Montréal	Quebec	H4N 1J8
Bureau en Gros; Valleyfield	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1560 boul. Monseigneur Langlois	Salaberry-de-Valleyfield	Quebec	J6S 1E3
Bureau en Gros; Boucherville	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	582 ch. de Touraine bureau 301	Boucherville	Quebec	J4B 8S5
Écocentre de Trois-Rivières	ICI sur rendez-vous seulement	2455 rue Charbonneau	Trois-Rivières	Quebec	G9A 5C9
Écocentre Région du Lac-Mégantic		5138 rue Pie-XI	Lac-Mégantic	Quebec	G6B 2S3
Écocentre de Magog		2300 rue Tanguay	Magog	Quebec	J1X 5Y5
Écocentre de Senneterre		740 ch. du Parc-Industriel	Senneterre	Quebec	J0Y 2M0
Écocentre de Val-d'Or		2001 3e Avenue Est	Val-d'Or	Quebec	J9P 7B4
Écocentre de Malartic		555 ch. du lac Mourier	Malartic	Quebec	J0Y 1Z0
Écocentre de Neuville		1310 ch. Du Site	Neuville	Quebec	G0A 2R0
Écocentre de Rivière-du-Loup		100 rue Delage	Rivière-du-Loup	Quebec	G5R 3P9
Écocentre de Saint-Alexandre		619 rte 289	Saint-Alexandre-de-Kamouraska	Quebec	G0L 2G0
Écocentre Chicoutimi Secteur Nord		2932 rue Vimy	Saguenay	Quebec	G7G 3N6
Récupération des Basques		2 rte à C?ur	Trois-Pistoles	Quebec	G0L 4K0
Bureau en Gros; Rouyn-Noranda	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	100 rue du Terminus Ouest	Rouyn-Noranda	Quebec	J9X 6H7
Bureau en Gros; Sept-îles	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	649 boul. Laure	Sept-îles	Quebec	G4R 1X8
Bureau en Gros; Lachenaie	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	590 montée des Pionniers	Terrebonne	Quebec	J6V 1N9
Bureau en Gros; Mascouche	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	145 montée Masson	Mascouche	Quebec	J7K 3B4
Bureau en Gros; Ste-Agathe-des-Monts	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1190 rue Principale	Sainte-Agathe-des-Monts	Quebec	J8C 1L8
Bureau en Gros; Joliette	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	845 boul. Firestone	Joliette	Quebec	J6E 2W4
Bureau en Gros; 19oe40	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4440 boul. Robert-Bourassa	Laval	Quebec	H7E 0B8
Bureau en Gros; Boisbriand	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	3420 av. des Grandes-Tourelles	Boisbriand	Quebec	J7H 0A2
Bureau en Gros; St-Eustache	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	660 boul. Arthur Sauvé	Saint-Eustache	Quebec	J7R 1E3
Bureau en Gros; Saint-Jérôme	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1135 rue Jean-Baptiste-Rolland Ouest	Saint-Jérôme	Quebec	J7Y 4Y7
Bureau en Gros; Rosemère	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	315 boul. Curé-Labelle	Rosemère	Quebec	J7A 2H7
Bureau en Gros; Ste-Dorothée	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1000 aut. Chomedey	Laval	Quebec	H7X 3S9
Bureau en Gros; Centre Laval	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1600 boul. Le Corbusier	Laval	Quebec	H7S 1Y9
Bureau en Gros; Neufchatel	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	4605 boul. de L'Auvergne #102	Québec	Quebec	G2C 1H7
Bureau en Gros; Sainte-Foy 2	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1510 av. Jules-Verne	Québec	Quebec	G2G 2R5
Bureau en Gros; Charest	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	1400 rue Cyrille-Duquet	Québec	Quebec	G1N 2E5
Bureau en Gros; Lévis	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	80 rte du Président-Kennedy	Lévis	Quebec	G6V 6C9
Bureau en Gros; Sainte-Foy	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	2975 boul. Laurier	Québec	Quebec	G1V 2M2
Bureau en Gros; Québec City	Note : Ce point de dépôt accepte les téléviseurs mesurant jusqu'à 32 po.	565 boul. Lebourgneuf	Québec	Quebec	G2J 1R9
Bureau municipal Forestville		1 2e Avenue	Forestville	Quebec	G0T 1E0
Bureau municipal Colombier		568 rue Principale	Colombier	Quebec	G0H 1P0
Écocentre Acadie	ICI: Quantité limité à 1 mètre cube par jour	1200 boul. Henri-Bourassa Ouest	Montréal	Quebec	H3M 3G1
Écocentre Côte-des-Neiges	ICI: Quantité limité à 1 mètre cube par jour	6925 ch. de la Côte-des-Neiges	Montréal	Quebec	H3S 2B6
Écocentre Rivière-des-Prairies	ICI: Quantité limité à 1 mètre cube par jour	11400 rue Léopold-Christin	Montréal	Quebec	H1E 7R3
Écocentre St-Michel	ICI: Quantité limité à 1 mètre cube par jour	2475 rue des Regrattiers (anciennement rue Michel-Jurdant	Montréal	Quebec	H1Z 4N1
Écocentre de Lévis	Seuls les produits électroniques des citoyens de Lévis sont acceptés dans cet écocentre.	3443 rue de Vulcain	Lévis	Quebec	G6W 0K8
Écocentre du secteur Chicoutimi (Sud)		3333 boul. Talbot	Saguenay	Quebec	G7H 5B1
Écocentre de Jonquière		2330 rue de la Métallurgie	Saguenay	Quebec	G7X 0B7
Écocentre de La Baie		223 rue Joseph-Gagné Sud La Baie	Saguenay	Quebec	G7B 3P6
